m3u_name,provider_id,alias_id,epg_id,epg_names,strategy,placeholder,priority
-= Denmark =-,9675,,,,no match,yes,NORMAL
N1 Info & Updates DK,61239,,,,no match,yes,LOW
DR 1 DK,23447,dr1,dr1.dk,DR 1 FHD DK,norm match (multi),,HIGH
DR 1 HD DK,8192,dr1,dr1.dk,DR 1 FHD DK,norm match (multi),,HIGH
DR 1 FHD DK,23504,dr1,dr1.dk,DR 1 FHD DK,norm match (multi),,HIGH
DR 2 DK,37439,dr2,dr2.dk,DR 2 FHD DK,norm match (multi),,HIGH
DR 2 HD DK,8193,dr2,dr2.dk,DR 2 FHD DK,norm match (multi),,HIGH
DR 2 FHD DK,296871,dr2,dr2.dk,DR 2 FHD DK,norm match (multi),,HIGH
DR Ramasjang HD DK,8194,drramasjang,drramasjang.dk,DR Ramasjang FHD DK,norm match (multi),,HIGH
DR Ramasjang FHD DK,21229,drramasjang,drramasjang.dk,DR Ramasjang FHD DK,norm match (multi),,HIGH
Play 1 HD DK,772173,,,,no match,yes,NORMAL
Play 2 HD DK,772174,,,,no match,yes,NORMAL
Play 3 HD DK,772175,,,,no match,yes,NORMAL
TV2 HD DK,23446,tv2,tv2.dk,TV2 HD DK,norm match (multi),,LOW
TV2 FHD DK,11668,tv2,tv2.dk,TV2 HD DK,norm match (multi),,LOW
TV2 Echo DK,86909,tv2echo,tv2zulu.dk,TV2 Echo FHD DK,norm match (multi),,HIGH
TV2 Echo HD DK,11672,tv2echo,tv2zulu.dk,TV2 Echo FHD DK,norm match (multi),,HIGH
TV2 Echo FHD DK,946820,tv2echo,tv2zulu.dk,TV2 Echo FHD DK,norm match (multi),,HIGH
TV2 Fri DK,86904,tv2fri,tv2fri.dk,TV2 Fri FHD DK,norm match (multi),,HIGH
TV2 Fri HD DK,11670,tv2fri,tv2fri.dk,TV2 Fri FHD DK,norm match (multi),,HIGH
TV2 Fri FHD DK,946818,tv2fri,tv2fri.dk,TV2 Fri FHD DK,norm match (multi),,HIGH
TV2 Charlie DK,11671,tv2charlie,tv2charlie.dk,TV2 Charlie FHD DK,norm match (multi),,HIGH
TV2 Charlie HD DK,51601,tv2charlie,tv2charlie.dk,TV2 Charlie FHD DK,norm match (multi),,HIGH
TV2 Charlie FHD DK,946819,tv2charlie,tv2charlie.dk,TV2 Charlie FHD DK,norm match (multi),,HIGH
TV2 News DK,43367,tv2news,tv2news.dk,TV2 News HD DK,norm match (multi),,HIGH
TV2 News HD DK,854606,tv2news,tv2news.dk,TV2 News HD DK,norm match (multi),,HIGH
TV2 News FHD DK,8205,tv2news,tv2news.dk,TV2 News HD DK,norm match (multi),,HIGH
TV2 Sport DK,8175,tv2sport,tv2sport.dk,TV2 Sport HD DK,norm match (multi),,HIGH
TV2 Sport HD DK,904904,tv2sport,tv2sport.dk,TV2 Sport HD DK,norm match (multi),,HIGH
TV2 Sport FHD DK,19536,tv2sport,tv2sport.dk,TV2 Sport HD DK,norm match (multi),,HIGH
TV2 Sport X DK,86894,tv2sportx,tv2sportx.dk,TV2 Sport X DK,norm match (multi),,HIGH
TV2 Sport X HD DK,50294,tv2sportx,tv2sportx.dk,TV2 Sport X DK,norm match (multi),,HIGH
TV2 Nord HD DK,18447,tv2nord,tv2nordsalto.dk,TV2 Nord Salto HD DK,norm match (dk preferred),,LOW
TV2 Fyn HD DK,18452,tv2fyn,tv2fyn.dk,TV2 Fyn HD DK,norm match (dk preferred),,LOW
TV2 Bornholm HD DK,904900,tv2bornholm,tv2bornholm.dk,TV2 Bornholm HD DK,norm match (multi),,LOW
TV2 Bornholm FHD DK,18450,tv2bornholm,tv2bornholm.dk,TV2 Bornholm HD DK,norm match (multi),,LOW
TV2 Syd HD DK,72574,tv2syd,tv2sydplus.dk,TV2 Syd HD DK,norm match (dk preferred),,LOW
TV2 Øst DK,86911,,,,no match,yes,LOW
